Story,Output Case,Case Type,Direction,Drift,Drift/,Label,X,Y,Z
SSL 38.00mPD 9th Floor,DStlS13,Combination,Y,0.000157,1/6374,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS14,Combination,X,0.000186,1/5383,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS14,Combination,Y,0.000221,1/4531,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS15,Combination,X,0.000101,1/9933,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS15,Combination,Y,0.000139,1/7176,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS16,Combination,X,0.000179,1/5590,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS16,Combination,Y,0.00014,1/7126,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS17,Combination,X,0.000143,1/7007,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS17,Combination,Y,0.000108,1/9264,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS18,Combination,X,0.000137,1/7307,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS18,Combination,Y,0.000172,1/5822,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS19,Combination,X,0.000175,1/5729,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS19,Combination,Y,0.000175,1/5726,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS20,Combination,X,0.000263,1/3797,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS20,Combination,Y,0.00027,1/3710,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS21,Combination,X,0.000224,1/4460,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS21,Combination,Y,0.000269,1/3716,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS22,Combination,X,0.000302,1/3306,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS22,Combination,Y,0.00027,1/3703,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS23,Combination,X,0.000266,1/3755,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS23,Combination,Y,0.000238,1/4208,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS24,Combination,X,0.00026,1/3840,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS24,Combination,Y,0.000301,1/3317,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS25,Combination,X,0.000158,1/6310,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS25,Combination,Y,0.00024,1/4165,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS26,Combination,X,0.000315,1/3175,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS26,Combination,Y,0.000242,1/4131,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS27,Combination,X,0.000243,1/4122,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS27,Combination,Y,0.000177,1/5641,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS28,Combination,X,0.000231,1/4332,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS28,Combination,Y,0.000305,1/3280,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS29,Combination,X,0.000096,1/10380,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS29,Combination,Y,0.000174,1/5759,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS30,Combination,X,0.000253,1/3956,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS30,Combination,Y,0.000176,1/5694,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS31,Combination,X,0.00018,1/5542,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS31,Combination,Y,0.000111,1/9023,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS32,Combination,X,0.000169,1/5928,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS32,Combination,Y,0.000238,1/4194,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS33,Combination,X,0.000062,1/16243,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS33,Combination,Y,0.000139,1/7201,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS34,Combination,X,0.000218,1/4587,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS34,Combination,Y,0.000141,1/7101,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS35,Combination,X,0.000146,1/6865,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS35,Combination,Y,0.000076,1/13151,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS36,Combination,X,0.000134,1/7468,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS36,Combination,Y,0.000204,1/4910,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlD1,Combination,X,0.00014,1/7154,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlD1,Combination,Y,0.00014,1/7151,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlD2,Combination,X,0.000199,1/5026,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlD2,Combination,Y,0.000203,1/4923,142,0,13.5,38
SSL 34.00 mPD 8th Floor,Dead,LinStatic,X,0.000069,1/14584,172,45,13.5,34
SSL 34.00 mPD 8th Floor,Dead,LinStatic,Y,0.000086,1/11563,141,0,27,34
SSL 34.00 mPD 8th Floor,Wind-X,LinStatic,X,0.00006,1/16672,174,60,67.5,34
SSL 34.00 mPD 8th Floor,Dead Ceiling,LinStatic,X,0.000007,1/153769,172,45,13.5,34
SSL 34.00 mPD 8th Floor,Dead Ceiling,LinStatic,Y,0.000008,1/125943,142,0,13.5,34
SSL 34.00 mPD 8th Floor,Dead Services,LinStatic,X,0.000018,1/54917,172,45,13.5,34
SSL 34.00 mPD 8th Floor,Dead Services,LinStatic,Y,0.000022,1/44980,141,0,27,34
SSL 34.00 mPD 8th Floor,Dead Partition,LinStatic,X,0.000013,1/76884,172,45,13.5,34
SSL 34.00 mPD 8th Floor,Dead Partition,LinStatic,Y,0.000016,1/62971,142,0,13.5,34
SSL 34.00 mPD 8th Floor,Live Floor,LinStatic,X,0.000052,1/19221,172,45,13.5,34
SSL 34.00 mPD 8th Floor,Live Floor,LinStatic,Y,0.000064,1/15743,142,0,13.5,34
SSL 34.00 mPD 8th Floor,Live Roof,LinStatic,X,0.000001,1/668633,174,60,67.5,34
SSL 34.00 mPD 8th Floor,Live Roof,LinStatic,Y,0.000004,1/257446,141,0,27,34
SSL 34.00 mPD 8th Floor,Dead Finishing Roof,LinStatic,X,0.000009,1/109777,172,45,13.5,34
SSL 34.00 mPD 8th Floor,Dead Finishing Roof,LinStatic,Y,0.000011,1/89754,141,0,27,34
SSL 34.00 mPD 8th Floor,Dead Services Roof,LinStatic,X,0.000001,1/0,174,60,67.5,34
SSL 34.00 mPD 8th Floor,Dead Services Roof,LinStatic,Y,0.000003,1/386168,1,0,67.5,34
SSL 34.00 mPD 8th Floor,Notional,LinStatic,Y,0.000012,1/85125,174,60,67.5,34
SSL 34.00 mPD 8th Floor,Dead Topping,LinStatic,X,0.000001,1/0,174,60,67.5,34
SSL 34.00 mPD 8th Floor,Dead Topping,LinStatic,Y,0.000003,1/386168,1,0,67.5,34
SSL 34.00 mPD 8th Floor,Dead Ceiling roof,LinStatic,X,4.985E-07,1/0,174,60,67.5,34
SSL 34.00 mPD 8th Floor,Dead Ceiling roof,LinStatic,Y,0.000001,1/772337,1,0,67.5,34
SSL 34.00 mPD 8th Floor,Cladding,LinStatic,X,0.000006,1/160089,172,45,13.5,34
SSL 34.00 mPD 8th Floor,Cladding,LinStatic,Y,0.000006,1/173924,142,0,13.5,34
SSL 34.00 mPD 8th Floor,Wind Y,LinStatic,Y,0.000066,1/15077,174,60,67.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.50Qk +EHF,Combination,X,0.000245,1/4077,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.50Qk +EHF,Combination,Y,0.000322,1/3104,141,0,27,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.50Qk + 0.75WkX + EHF,Combination,X,0.000204,1/4892,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.50Qk + 0.75WkX + EHF,Combination,Y,0.000322,1/3107,141,0,27,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.05Qk + 1.50WkX + EHF,Combination,X,0.00014,1/7151,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.05Qk + 1.50WkX + EHF,Combination,Y,0.000291,1/3434,141,0,27,34
SSL 34.00 mPD 8th Floor,1.0Gk + 1.50WkY + EHF,Combination,X,0.000132,1/7594,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.0Gk + 1.50WkY + EHF,Combination,Y,0.000101,1/9907,1,0,67.5,34
SSL 34.00 mPD 8th Floor,1.0Gk + 1.50WkX + EHF,Combination,Y,0.000166,1/6029,1,0,67.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.05Qk + 1.50WkY + EHF,Combination,X,0.00023,1/4346,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.05Qk + 1.50WkY + EHF,Combination,Y,0.000226,1/4419,141,0,27,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.50Qk + 0.75WkY + EHF,Combination,X,0.00025,1/4007,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.50Qk + 0.75WkY + EHF,Combination,Y,0.000289,1/3456,141,0,27,34
SSL 34.00 mPD 8th Floor,1.0Gk - 1.50WkX + EHF,Combination,X,0.000205,1/4883,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.0Gk - 1.50WkX + EHF,Combination,Y,0.000167,1/5987,1,0,67.5,34
SSL 34.00 mPD 8th Floor,1.0Gk - 1.50WkY + EHF,Combination,X,0.000115,1/8731,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.0Gk - 1.50WkY + EHF,Combination,Y,0.000232,1/4311,1,0,67.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.05Qk - 1.50WkX + EHF,Combination,X,0.000303,1/3298,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.05Qk - 1.50WkX + EHF,Combination,Y,0.000292,1/3420,141,0,27,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.05Qk - 1.50WkY + EHF,Combination,X,0.000213,1/4696,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.05Qk - 1.50WkY + EHF,Combination,Y,0.000357,1/2799,141,0,27,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.50Qk - 0.75WkX + EHF,Combination,X,0.000286,1/3495,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.50Qk - 0.75WkX + EHF,Combination,Y,0.000322,1/3102,141,0,27,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.50Qk - 0.75WkY + EHF,Combination,X,0.000241,1/4150,172,45,13.5,34
SSL 34.00 mPD 8th Floor,1.35Gk + 1.50Qk - 0.75WkY + EHF,Combination,Y,0.000355,1/2818,141,0,27,34
SSL 34.00 mPD 8th Floor,DCmpD1,Combination,X,0.000123,1/8138,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DCmpD1,Combination,Y,0.000156,1/6414,1,0,67.5,34
SSL 34.00 mPD 8th Floor,DCmpD2,Combination,X,0.000176,1/5694,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DCmpD2,Combination,Y,0.000223,1/4478,1,0,67.5,34
SSL 34.00 mPD 8th Floor,DCmpC1,Combination,X,0.000184,1/5426,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DCmpC1,Combination,Y,0.000234,1/4276,141,0,27,34
SSL 34.00 mPD 8th Floor,DCmpC2,Combination,X,0.000184,1/5426,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DCmpC2,Combination,Y,0.000234,1/4276,141,0,27,34
SSL 34.00 mPD 8th Floor,DCmpS1,Combination,X,0.000166,1/6028,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DCmpS1,Combination,Y,0.00021,1/4751,141,0,27,34
SSL 34.00 mPD 8th Floor,DCmpS2,Combination,X,0.000221,1/4519,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DCmpS2,Combination,Y,0.000281,1/3556,141,0,27,34
SSL 34.00 mPD 8th Floor,DCmpS3,Combination,X,0.000141,1/7092,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DCmpS3,Combination,Y,0.000179,1/5590,141,0,27,34
SSL 34.00 mPD 8th Floor,DCmpS4,Combination,X,0.00022,1/4543,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DCmpS4,Combination,Y,0.00028,1/3571,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS1,Combination,X,0.000166,1/6028,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS1,Combination,Y,0.00021,1/4751,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS2,Combination,X,0.000221,1/4519,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS2,Combination,Y,0.000281,1/3556,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS3,Combination,X,0.00018,1/5542,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS3,Combination,Y,0.000281,1/3559,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS4,Combination,X,0.000262,1/3815,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS4,Combination,Y,0.000282,1/3552,141,0,27,34
