Unnamed: 0,mass (kg/m),h (mm),b (mm),tw (mm),tf (mm),r(mm),d (mm),Web class,Flange class,Iy (cm^4),Iz(cm^4),R_y(cm),R_z(cm),"W_el,y (cm^3)","W_el,z (cm^3)","W_pl,y (cm3)","W,pl,z (cm^3)",U,X,I_w (dm^6),I_T (cm^4),A (cm^2),Iy (mm^4),Iz (mm^4),R_y (mm),R_z (mm),"W_el,y (mm^3)","W_el,z (mm^3)","W_pl,y (mm3)","W,pl,z (mm^3)",I_w (mm^6),I_T (mm^4),A (mm^2)
457 x 191x 98,98.3,467.2,192.8,11.4,19.6,10.2,407.6,35.8,4.11,45700,2350.0,19.1,4.33,1960.0,243.0,2230.0,379.0,0.881,25.8,1.18,121.0,125.0,457000000,23500000.0,191.0,43.3,1960000.0,243000.0,2230000.0,379000.0,1180000000000.0,1210000.0,12500.0
457 x 191x 89,89.3,463.4,191.9,10.5,17.7,10.2,407.6,38.8,4.55,41000,2090.0,19.0,4.29,1770.0,218.0,2010.0,338.0,0.877,28.3,1.04,90.7,114.0,410000000,20900000.0,190.0,42.9,1770000.0,218000.0,2010000.0,338000.0,1040000000000.0,907000.0,11400.0
457 x 191x 82,82.0,460.0,191.3,9.9,16.0,10.2,407.6,41.2,5.03,37100,1870.0,18.8,4.23,1610.0,196.0,1830.0,304.0,0.879,30.8,0.922,69.2,104.0,371000000,18700000.0,188.0,42.300000000000004,1610000.0,196000.0,1830000.0,304000.0,922000000000.0,692000.0,10400.0
457 x 191x 74,74.3,457.0,190.4,9.0,14.5,10.2,407.6,45.3,5.55,33300,1670.0,18.8,4.2,1460.0,176.0,1650.0,272.0,0.876,33.8,0.818,51.8,94.6,333000000,16700000.0,188.0,42.0,1460000.0,176000.0,1650000.0,272000.0,818000000000.0,518000.0,9460.0
457 x 191x 67,67.1,453.4,189.9,8.5,12.7,10.2,407.6,48.0,6.34,29400,1450.0,18.5,4.12,1300.0,153.0,1470.0,237.0,0.872,37.9,0.705,37.1,85.5,294000000,14500000.0,185.0,41.2,1300000.0,153000.0,1470000.0,237000.0,705000000000.0,371000.0,8550.0
457 x 152x 82,82.1,465.8,155.3,10.5,18.9,10.2,407.6,38.8,3.29,36600,1180.0,18.7,3.37,1570.0,153.0,1810.0,240.0,0.87,27.5,0.591,89.2,105.0,366000000,11800000.0,187.0,33.7,1570000.0,153000.0,1810000.0,240000.0,591000000000.0,892000.0,10500.0
457 x 152x 74,74.2,462.0,154.4,9.6,17.0,10.2,407.6,42.5,3.66,32700,1050.0,18.6,3.33,1410.0,136.0,1630.0,213.0,0.874,30.1,0.518,65.9,94.5,327000000,10500000.0,186.0,33.3,1410000.0,136000.0,1630000.0,213000.0,518000000000.0,659000.0,9450.0
457 x 152x 67,67.2,458.0,153.8,9.0,15.0,10.2,407.6,45.3,4.15,28900,913.0,18.4,3.27,1260.0,119.0,1450.0,187.0,0.867,33.6,0.448,47.7,85.6,289000000,9130000.0,184.0,32.7,1260000.0,119000.0,1450000.0,187000.0,448000000000.0,477000.0,8560.0
457 x 152x 60,59.8,454.6,152.9,8.1,13.3,10.2,407.6,50.3,4.68,25500,795.0,18.3,3.23,1120.0,104.0,1290.0,163.0,0.869,37.5,0.387,33.8,76.2,255000000,7950000.0,183.0,32.3,1120000.0,104000.0,1290000.0,163000.0,387000000000.0,338000.0,7620.0
457 x 152x 52,52.3,449.8,152.4,7.6,10.9,10.2,407.6,53.6,5.71,21400,645.0,17.9,3.11,950.0,84.6,1100.0,133.0,0.861,43.8,0.311,21.4,66.6,214000000,6450000.0,179.0,31.099999999999998,950000.0,84600.0,1100000.0,133000.0,311000000000.0,214000.0,6659.999999999999
